sku,year_month,final_perdiction,Channel
1039,2024-07,1.08E-78,Export_Re-Export
1087,2024-07,101.2575758,Export_Re-Export
1088,2024-07,262.2754953,Export_Re-Export
1095,2024-07,494.4777901,Export_Re-Export
1917,2024-07,294.4100136,Export_Re-Export
1938,2024-07,2.180961797,Export_Re-Export
1939,2024-07,1.20E-94,Export_Re-Export
10091,2024-07,8306.215592,Export_Re-Export
10869,2024-07,0.802802077,Export_Re-Export
12225,2024-07,514.7772502,Export_Re-Export
13887,2024-07,301.8919214,Export_Re-Export
14427,2024-07,4.58695741,Export_Re-Export
14428,2024-07,640.8995382,Export_Re-Export
14989,2024-07,1162.121212,Export_Re-Export
15001,2024-07,38.69542605,Export_Re-Export
50003,2024-07,261.1369781,Export_Re-Export
50025,2024-07,674.2075749,Export_Re-Export
53568,2024-07,0.380944009,Export_Re-Export
54110,2024-07,67.15151515,Export_Re-Export
54137,2024-07,0.012077381,Export_Re-Export
54667,2024-07,67.89926923,Export_Re-Export
55973,2024-07,66.73391147,Export_Re-Export
55974,2024-07,0.006862126,Export_Re-Export
55975,2024-07,26.84623855,Export_Re-Export
56395,2024-07,4.76E-08,Export_Re-Export
57095,2024-07,64.77294003,Export_Re-Export
58536,2024-07,386.5799604,Export_Re-Export
58537,2024-07,24.6969697,Export_Re-Export
62239,2024-07,7.593246533,Export_Re-Export
64458,2024-07,23.1429741,Export_Re-Export
64819,2024-07,10.06602372,Export_Re-Export
64820,2024-07,4.63E-08,Export_Re-Export
65032,2024-07,1649.8566,Export_Re-Export
65033,2024-07,407.2344766,Export_Re-Export
65232,2024-07,8.000000045,Export_Re-Export
65340,2024-07,4.685620471,Export_Re-Export
65917,2024-07,0.543869686,Export_Re-Export
66390,2024-07,1.000001311,Export_Re-Export
66650,2024-07,151.7845506,Export_Re-Export
67285,2024-07,1.000001753,Export_Re-Export
68104,2024-07,0,Export_Re-Export
68327,2024-07,1934.67944,Export_Re-Export
68328,2024-07,2451.545325,Export_Re-Export
101202,2024-07,329.6349814,Export_Re-Export
103602,2024-07,2094.532536,Export_Re-Export
103808,2024-07,6.689250552,Export_Re-Export
200231,2024-07,13.19297884,Export_Re-Export
1039,2024-07,0,Retail
1087,2024-07,4.93E-32,Retail
1088,2024-07,0.440429103,Retail
1095,2024-07,39.08303914,Retail
1917,2024-07,2794.741344,Retail
1938,2024-07,366.5894016,Retail
1939,2024-07,0,Retail
10091,2024-07,1357.16547,Retail
10869,2024-07,368.4050482,Retail
12225,2024-07,1350.731502,Retail
13887,2024-07,1349.99675,Retail
14427,2024-07,18.20130117,Retail
14428,2024-07,24.56770164,Retail
14989,2024-07,500.0085988,Retail
50003,2024-07,2165.7103,Retail
50025,2024-07,581.0012338,Retail
53568,2024-07,15.11437079,Retail
54110,2024-07,437.1957996,Retail
54137,2024-07,197.9901764,Retail
54667,2024-07,183.5183415,Retail
55973,2024-07,805.1725036,Retail
55974,2024-07,557.0354329,Retail
55975,2024-07,8.394605757,Retail
56395,2024-07,0,Retail
57095,2024-07,1709.0961,Retail
58536,2024-07,237.672479,Retail
58537,2024-07,147.464724,Retail
62239,2024-07,607.2739364,Retail
64458,2024-07,724.2957494,Retail
64819,2024-07,0.023825966,Retail
64820,2024-07,3.34E-23,Retail
65032,2024-07,216.4392463,Retail
65232,2024-07,1.06E-19,Retail
65340,2024-07,100.7957765,Retail
65917,2024-07,919.7918021,Retail
66650,2024-07,527.3443224,Retail
67285,2024-07,7.75E-267,Retail
68104,2024-07,394.1566931,Retail
68327,2024-07,5548.639451,Retail
68328,2024-07,6831.823544,Retail
101202,2024-07,242.9898823,Retail
103602,2024-07,1188.298146,Retail
103808,2024-07,284.4432143,Retail
110487,2024-07,658.9027799,Retail
200231,2024-07,208.6711092,Retail
1039,2024-07,0,Ecomm
1087,2024-07,0,Ecomm
1088,2024-07,0,Ecomm
1095,2024-07,1.130501132,Ecomm
1917,2024-07,215.2107833,Ecomm
1938,2024-07,43.45899461,Ecomm
1939,2024-07,1.097339432,Ecomm
10091,2024-07,131.8929405,Ecomm
10869,2024-07,5.204686341,Ecomm
12225,2024-07,95.48070813,Ecomm
13887,2024-07,187.9864339,Ecomm
14427,2024-07,4.274548003,Ecomm
14428,2024-07,6.982399412,Ecomm
14989,2024-07,49.85869659,Ecomm
50003,2024-07,54.03933295,Ecomm
50025,2024-07,78.06158612,Ecomm
53568,2024-07,7.337073197,Ecomm
54110,2024-07,39.55581044,Ecomm
54137,2024-07,7.521685624,Ecomm
54667,2024-07,13.82086889,Ecomm
55973,2024-07,201.3509189,Ecomm
55974,2024-07,13.87252994,Ecomm
55975,2024-07,1.218571803,Ecomm
56395,2024-07,0.834575954,Ecomm
57095,2024-07,59.93811691,Ecomm
58536,2024-07,10.69908266,Ecomm
58537,2024-07,14.6548794,Ecomm
62239,2024-07,11.75799921,Ecomm
64458,2024-07,107.886564,Ecomm
64819,2024-07,0,Ecomm
64820,2024-07,0,Ecomm
65032,2024-07,0,Ecomm
65232,2024-07,0,Ecomm
65340,2024-07,0.375823178,Ecomm
