MATERIAL,DESCRIPTION,SALES,CUSTCOUNT,SOCOUNT,Index,Bin - Rev,Cumulative Sales,Bin - Cust,Bin - Order Freq,Classification,Multichannel,Larger P,Material Type,COP,Production,Category
10091,WHIPPING CREAM/MILLAC GOLD 1L," 29,37,362 ",657,18058,1,A,0.021,X,L,AXL,True,Non Retail,TRADING,GB,,Dairy
13584,WHIPPING (NON-DAIRY CREAM)/REDMAN 1100G," 22,17,614 ",512,6143,2,A,0.027,X,L,AXL,True,Non Retail,TRADING,SG,,Fat & Oil
1917,WHIPPING CREAM DAIRY 38%/MILLAC 1L," 21,94,920 ",350,7478,3,A,0.039,Y,L,AYL,True,Non Retail,TRADING,GB,,Dairy
68328,BUTTER UNSALTED LACTIC/REDMAN 250G," 20,09,503 ",938,13977,4,A,0.045,X,L,AXL,True,Non Retail,TRADING,DK,,Dairy
10869,WHIPPING CREAM DAIRY 35%/LONDON GOLD 1L," 13,75,191 ",346,7919,5,A,0.051,Y,L,AYL,True,Non Retail,TRADING,GB,,Dairy
57788,CHEESE MOZZARELLA SHREDDED/GOLDTREE 1KG," 13,67,263 ",509,6882,6,A,0.054,X,L,AXL,True,Non Retail,TRADING,GB,,Cheese
55973,BUTTER UNSALTED/FLECHARD 1KG," 12,86,770 ",182,3320,7,A,0.061,Y,L,AYL,True,Non Retail,TRADING,FR,,Dairy
51581,CREAM CHEESE/ROYAL VICTORIA 2KG," 12,41,063 ",840,8209,8,A,0.061,X,L,AXL,True,Non Retail,TRADING,AU,,Cheese
66390,MILK STICK WHOLE UHT/LAKELAND 480X10ML," 10,96,061 ",2,109,9,A,0.065,Z,N,AZN,True,Non Retail,TRADING,GB,,Dairy
68327,BUTTER SALTED LACTIC/REDMAN 250G," 9,80,790 ",343,4152,10,A,0.073,Y,L,AYL,True,Non Retail,TRADING,DK,,Dairy
108134,OIL OLIVE POMACE/REDMAN 5L," 8,27,543 ",453,9886,11,A,0.079,X,L,AXL,True,Non Retail,TRADING,ES,,PHD
65032,MILK UHT FULL CREAM 3.5%/MILCOW 1L," 7,68,134 ",723,7167,12,A,0.08,X,L,AXL,True,Non Retail,TRADING,DE,,Dairy
14428,BUTTER UNSALTED 82%/LE GRAND TOURAGE 1KG," 6,83,394 ",73,730,13,A,0.085,Y,M,AYM,True,Non Retail,TRADING,FR,,Dairy
12225,COOKING (CREAM ALTERNATIVE)/REDMAN 1KG," 6,71,073 ",365,6131,14,A,0.099,Y,L,AYL,True,Non Retail,TRADING,SG,,Dairy
1242,FLOUR PLAIN REDMAN 1KG," 6,36,063 ",1078,17080,15,A,0.107,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Flour, Grain & Flakes"
103602,MILK UHT FULL CREAM 3.5%/REDMAN 1L," 6,10,886 ",891,9414,16,A,0.11,X,L,AXL,True,Non Retail,TRADING,DE,,Dairy
62281,CHEESE PIZZA TOPPING/GOLDTREE 1KG," 6,10,667 ",211,2736,17,A,0.114,Y,M,AYM,True,Retail,TRADING,GB,,Cheese
66650,COOKING CREAM/MILLAC GOLD 1L," 6,03,787 ",324,5669,18,A,0.125,Y,L,AYL,True,Non Retail,TRADING,GB,,Dairy
14845,HONEY PURE/REDMAN 1KG," 5,97,210 ",1045,11889,19,A,0.125,X,L,AXL,True,Non Retail,TRADING,CN,,Bakery
200700,FROZEN SUCKLING PIGS (4-5KG) SPECIAL," 5,89,824 ",1,19,20,A,0.126,Z,N,AZN,True,Non Retail,FG,P-SG,Y,Meat
14989,BUTTER UNSALTED/PETIT NORMAND 250G," 5,84,516 ",170,1457,21,A,0.126,Y,M,AYM,True,Non Retail,TRADING,FR,,Dairy
81081,FRZ PORK ST LOUIS RIB 2.5LB/INDIANA KI," 5,77,067 ",42,586,22,A,0.126,Z,M,AZM,True,Non Retail,TRADING,US,,Meat
61691,THOMPSN BLACK RAISIN TURK/GOLDTREE12.5KG," 5,74,924 ",40,180,23,A,0.131,Z,N,AZN,True,Non Retail,TRADING,TR,,Fruits
966,NUT PISTACHIO KERNEL REDMAN 1KG," 5,73,907 ",783,5415,24,A,0.132,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
15001,BUTTER UNSALTED/CONAPROLE 25KG," 5,66,415 ",62,982,25,A,0.139,Y,M,AYM,True,Non Retail,TRADING,UY,,Dairy
972,NUT ALMOND BLANCHED SLICED REDMAN 1KG," 5,60,367 ",900,8217,26,A,0.14,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
200002,SUGAR ICING REDMAN 20X1KG," 5,55,169 ",161,1756,27,A,0.141,Y,M,AYM,True,Non Retail,FG,P-SG,Y,Bakery
101486,FRZ US BEEF SHORT RIB B/L CHOICE/CREEKST," 5,54,174 ",24,338,28,A,0.149,Z,N,AZN,True,Non Retail,TRADING,US,,Meat
50628,CANOLA OIL SPRAY/GOLD'N 450G," 5,48,252 ",1087,9329,29,A,0.155,X,L,AXL,True,Non Retail,TRADING,AU,,Fat & Oil
64187,CHEESE PARMESAN GRATED/ALBA 1KG," 5,44,486 ",496,7518,30,A,0.16,X,L,AXL,True,Non Retail,TRADING,AU,,Cheese
50227,CHEESE MASCARPONE/CIRESA 500G," 5,27,773 ",583,6611,31,A,0.163,X,L,AXL,True,Non Retail,TRADING,IT,,Cheese
9817,PIE FILLING BLUEBERRY/ REDMAN 2.7KG," 5,23,249 ",327,3095,32,A,0.165,Y,L,AYL,True,Non Retail,TRADING,BE,,Filling & Jam
105869,NUTELLA 3KG," 4,84,763 ",275,1932,33,A,0.173,Y,M,AYM,True,Non Retail,TRADING,IT,,Filling & Jam
1417,SUGAR CASTER REDMAN 1KG," 4,44,251 ",667,9619,34,A,0.176,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
2580,PUREE MANGO SWEETENED REDMAN 5KG," 4,43,537 ",317,4077,35,A,0.181,Y,L,AYL,True,Non Retail,FG,P-SG,Y,Fruits
60777,DRESSING ROASTED SESAME/KEWPIE 1L," 4,32,411 ",223,5473,36,A,0.183,Y,L,AYL,True,Non Retail,TRADING,MY,,Grocery
50003,BUTTER UNSALTED/GREENFIELDS 250G," 4,30,215 ",376,2043,37,A,0.183,Y,M,AYM,True,Non Retail,TRADING,GB,,Dairy
9621,PASTE PINEAPPLE PREMIUM REDMAN 1KG," 4,25,624 ",266,699,38,A,0.187,Y,M,AYM,True,Retail,TRADING,TH,,Filling & Jam
61263,CHEESE SMOKEY BURGER SLICE/REDMAN 1KG," 4,19,661 ",396,4568,39,A,0.189,Y,L,AYL,True,Non Retail,TRADING,AU,,Cheese
53928,GELATINE FISH 200 BLOOM REDMAN 1KG," 4,03,429 ",336,2391,40,A,0.191,Y,M,AYM,True,Non Retail,FG,P-SG,Y,Bakery
107309,CANNED LYCHEE IN SYRUP/MILI 565G," 4,02,774 ",262,2388,41,A,0.192,Y,M,AYM,True,Non Retail,TRADING,CN,,Fruits
100051,FRZ MANGO PUREE 8954/RAVIFRUIT 5KG," 3,99,997 ",53,436,42,A,0.193,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
50472,FRZ RASPBERRY PUREE 8031/RAVIFRUIT 1KG," 3,89,578 ",319,1788,43,A,0.195,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
50460,IQF BLUEBERRY (WILD) 8527/RAVIFRUIT 1KG," 3,86,140 ",296,2692,44,A,0.198,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
54082,CHEESE MOZZARELLA SHREDDED/ALBA 2KG," 3,78,595 ",249,2497,45,A,0.198,Y,M,AYM,True,Non Retail,TRADING,AU,,Cheese
107277,FRZ FRIES SHOESTRING 2KG," 3,77,400 ",4,45,46,A,0.202,Z,N,AZN,True,Non Retail,TRADING,CN,,Grocery
1938,MILK UHT FULL CREAM 3.5%/MF 1L," 3,73,860 ",606,5092,47,A,0.208,X,L,AXL,True,Non Retail,TRADING,NZ,,Dairy
10550,NUT PUMPKIN SEED KERNEL REDMAN 1KG," 3,66,874 ",660,6930,48,A,0.21,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
67445,CHEESE WHITE CHEDDAR SLICE/ROYAL VIC 1KG," 3,64,013 ",354,3208,49,A,0.213,Y,L,AYL,True,Non Retail,TRADING,AU,,Cheese
54080,CHEESE CHEDDAR SHREDDED/ALBA 2KG," 3,62,497 ",224,3482,50,A,0.214,Y,L,AYL,True,Non Retail,TRADING,AU,,Cheese
64819,BUTTER UNSALTED/GREENFIELDS 25KG," 3,50,711 ",44,547,51,A,0.221,Z,M,AZM,True,Non Retail,TRADING,GB,,Dairy
14990,DRIED CRANBERRY SWEET REDMAN 1KG," 3,50,681 ",796,8277,52,A,0.224,X,L,AXL,True,Non Retail,FG,P-SG,Y,Fruits
991,NUT PECAN REDMAN 1KG," 3,50,555 ",478,3715,53,A,0.229,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
51782,NUT WALNUT HALVES CALIFORNIA REDMAN 1KG," 3,47,942 ",607,5793,54,A,0.231,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
100049,IQF RASPBERRIES 8507/RAVIFRUIT 1KG," 3,46,697 ",334,2927,55,A,0.233,Y,L,AYL,True,Non Retail,TRADING,FR,,Fruits
107659,CREAMER GAS CHARGERS BLUE 50PC," 3,40,790 ",234,1494,56,A,0.234,Y,M,AYM,True,Retail,TRADING,AT,,Non Food
12137,NUT ALMOND SLICED BLANCHED 25LB," 3,35,459 ",93,1136,57,A,0.239,Y,M,AYM,True,Non Retail,TRADING,US,,"Nuts, Seeds & Beans"
1407,SUGAR BROWN REDMAN 2KG," 3,35,270 ",580,6012,58,A,0.241,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
102497,CHOC WHITE COMPOUND BLOCK 1KG VHP," 3,31,326 ",285,2778,59,A,0.245,Y,M,AYM,True,Non Retail,TRADING,SG,,Chocolates
10386,YEAST INSTANT DRY BLUE/BRUGGEMAN 500G," 3,25,727 ",632,4808,60,A,0.246,X,L,AXL,True,Non Retail,TRADING,BE,,Bakery
68323,FLORENTINE POWDER/REDMAN 500G," 3,22,197 ",152,633,61,A,0.246,Y,M,AYM,True,Retail,TRADING,DE,,"Flour, Grain & Flakes"
61864,NUT ALMOND BLANCHED GRD SUPER FINE 25LBS," 3,21,649 ",75,872,62,A,0.247,Y,M,AYM,True,Non Retail,TRADING,US,,"Nuts, Seeds & Beans"
65076,FLOUR ROUGE T45/BAGATELLE TBB 25KG," 3,19,749 ",2,356,63,A,0.248,Z,M,AZM,True,Non Retail,TRADING,FR,,"Flour, Grain & Flakes"
58098,TUNA CHUNK IN SOYBEAN OIL/GOLDTREE 1885G," 3,17,810 ",138,1982,64,A,0.254,Y,M,AYM,True,Non Retail,TRADING,TH,,PHD
1405,SUGAR BROWN REDMAN 1KG," 3,17,340 ",744,6280,65,A,0.256,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
107276,FRZ FRIES SHOESTRING COATED 2KG," 3,16,805 ",98,2357,66,A,0.259,Y,M,AYM,True,Non Retail,TRADING,CN,,Grocery
1204,FLOUR BREAD PRIMA CLOVER 25KG," 3,15,144 ",229,4019,67,A,0.263,Y,L,AYL,True,Non Retail,TRADING,SG,,"Flour, Grain & Flakes"
55575,SUGAR WHITE REFINED (BAGX25KG)," 3,10,297 ",322,4791,68,A,0.277,Y,L,AYL,True,Non Retail,TRADING,TH,,Bakery
1416,SUGAR FINE REDMAN 1KG," 3,08,818 ",1029,16703,69,A,0.281,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
66693,SYRUP HAZELNUT/DAVINCI GOURMET 750ML," 3,07,603 ",196,4520,70,A,0.284,Y,L,AYL,True,Non Retail,TRADING,MY,,Beverage
976,NUT ALMOND WHOLE W SKIN REDMAN 1KG," 3,06,081 ",407,3636,71,A,0.287,X,L,AXL,True,Non Retail,FG,P-SG,Y,"Nuts, Seeds & Beans"
54912,FLOUR PIZZA TIPO 00 CAPUTO 25KG," 3,05,554 ",147,2700,72,A,0.3,Y,M,AYM,True,Non Retail,TRADING,IT,,"Flour, Grain & Flakes"
1410,SUGAR ICING REDMAN 1KG," 3,05,544 ",1494,16336,73,A,0.303,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
200001,ESSENCE VANILLA REDMAN 1KG," 2,95,809 ",656,3085,74,A,0.303,X,L,AXL,True,Non Retail,FG,P-SG,Y,Bakery
200325,FRZ AU LAMB RACK 3 BONE 200-230GM+/-," 2,86,911 ",7,104,75,A,0.305,Z,N,AZN,True,Non Retail,FG,P-SG,Y,Meat
50473,FRZ MANGO CLASSIC PUREE/RAVIFRUIT 1KG," 2,83,975 ",354,2777,76,A,0.306,Y,M,AYM,True,Non Retail,TRADING,FR,,Fruits
13887,BUTTER SALTED/GREENFIELDS 250G," 2,82,391 ",136,862,77,A,0.308,Y,M,AYM,True,Non Retail,TRADING,GB,,Dairy
10321,DRIED BLACK RAISINS/REDMAN 25LB," 2,82,223 ",129,1630,78,A,0.311,Y,M,AYM,True,Non Retail,TRADING,US,,Fruits
14646,MAYONNAISE/REDMAN 3L," 2,79,663 ",334,3487,79,A,0.311,Y,L,AYL,True,Non Retail,TRADING,SG,,Grocery
110089,OYSTER FINE DE CLAIRE N3/TESSIER 180PC," 2,77,218 ",11,114,80,A,0.313,Z,N,AZN,True,Non Retail,TRADING,FR,,Seafood
102499,CHOC DARK COMPOUND BLK SEMI SWEET1KG VHP," 2,75,190 ",220,2413,81,A,0.315,Y,M,AYM,True,Non Retail,TRADING,SG,,Chocolates
