,year_month,predicted,actual_demand,mape,h1,channel,statistical_accuracy,total_accuracy,client_id,last_updated_at
0,2024-07-01,167454.938348,178230.075294,0.9395436660831464,Bakery,B2B,1,0,1,2024-10-21
1,2024-08-01,173690.012145,198845.498321,0.8734923023734185,Bakery,B2B,1,0,1,2024-10-21
2,2024-09-01,181096.84167,178105.990879,0.983207466653764,Bakery,B2B,1,0,1,2024-10-21
3,2024-07-01,167454.938348,178230.075294,0.9395436660831464,Bakery,B2B,0,1,1,2024-10-21
4,2024-08-01,173690.012145,198845.498321,0.8734923023734185,Bakery,B2B,0,1,1,2024-10-21
5,2024-09-01,181096.84167,178105.990879,0.983207466653764,Bakery,B2B,0,1,1,2024-10-21
6,2024-07-01,3661.159398,4882.808368,0.7498060792214977,Bakery,Ecomm,1,0,1,2024-10-21
7,2024-08-01,3545.214,4468.406699,0.7933955521088525,Bakery,Ecomm,1,0,1,2024-10-21
8,2024-09-01,3808.988,4023.489699,0.9466876480252173,Bakery,Ecomm,1,0,1,2024-10-21
9,2024-07-01,3661.159398,4882.808368,0.7498060792214977,Bakery,Ecomm,0,1,1,2024-10-21
10,2024-08-01,3545.214,4468.406699,0.7933955521088525,Bakery,Ecomm,0,1,1,2024-10-21
11,2024-09-01,3808.988,4023.489699,0.9466876480252173,Bakery,Ecomm,0,1,1,2024-10-21
12,2024-07-01,52761.719,52429.921194,0.9936715944170069,Bakery,Export_Re-Export,1,0,1,2024-10-21
13,2024-08-01,53612.078,39053.434,0.6272121934270876,Bakery,Export_Re-Export,1,0,1,2024-10-21
14,2024-09-01,58301.008,82025.216,0.7107693322014538,Bakery,Export_Re-Export,1,0,1,2024-10-21
15,2024-07-01,52761.719,52429.921194,0.9936715944170069,Bakery,Export_Re-Export,0,1,1,2024-10-21
16,2024-08-01,53612.078,39053.434,0.6272121934270876,Bakery,Export_Re-Export,0,1,1,2024-10-21
17,2024-09-01,58301.008,82025.216,0.7107693322014538,Bakery,Export_Re-Export,0,1,1,2024-10-21
18,2024-07-01,34016.82044,31727.128885000002,0.9278317441423916,Bakery,Retail,1,0,1,2024-10-21
19,2024-08-01,34066.657051,36894.464353,0.9233541575520918,Bakery,Retail,1,0,1,2024-10-21
20,2024-09-01,36574.088957,32577.842302,0.8773323715562751,Bakery,Retail,1,0,1,2024-10-21
21,2024-07-01,34016.82044,31727.128885000002,0.9278317441423916,Bakery,Retail,0,1,1,2024-10-21
22,2024-08-01,34066.657051,36894.464353,0.9233541575520918,Bakery,Retail,0,1,1,2024-10-21
23,2024-09-01,36574.088957,32577.842302,0.8773323715562751,Bakery,Retail,0,1,1,2024-10-21
24,2024-07-01,257894.637186,267269.933741,0.964921993193274,Bakery,ALL,1,0,1,2024-10-21
25,2024-08-01,264913.961196,279261.803373,0.9486222533704829,Bakery,ALL,1,0,1,2024-10-21
26,2024-09-01,279780.926627,296732.53888,0.9428724186535695,Bakery,ALL,1,0,1,2024-10-21
27,2024-07-01,257894.637186,267269.933741,0.964921993193274,Bakery,ALL,0,1,1,2024-10-21
28,2024-08-01,264913.961196,279261.803373,0.9486222533704829,Bakery,ALL,0,1,1,2024-10-21
29,2024-09-01,279780.926627,296732.53888,0.9428724186535695,Bakery,ALL,0,1,1,2024-10-21
30,2024-07-01,22783.701,23351.142,0.9756996467239162,Chocolates,B2B,1,0,1,2024-10-21
31,2024-08-01,22665.983,34907.476,0.6493160089832906,Chocolates,B2B,1,0,1,2024-10-21
32,2024-09-01,27881.673,26956.19,0.9656671436133963,Chocolates,B2B,1,0,1,2024-10-21
33,2024-07-01,22783.701,23351.142,0.9756996467239162,Chocolates,B2B,0,1,1,2024-10-21
34,2024-08-01,22665.983,34907.476,0.6493160089832906,Chocolates,B2B,0,1,1,2024-10-21
35,2024-09-01,27881.673,26956.19,0.9656671436133963,Chocolates,B2B,0,1,1,2024-10-21
36,2024-07-01,693.055,701.52,0.9879333447371421,Chocolates,Ecomm,1,0,1,2024-10-21
37,2024-08-01,641.5600000000001,686.33,0.9347689886789154,Chocolates,Ecomm,1,0,1,2024-10-21
38,2024-09-01,688.18,628.92,0.9057749793296445,Chocolates,Ecomm,1,0,1,2024-10-21
39,2024-07-01,693.055,701.52,0.9879333447371421,Chocolates,Ecomm,0,1,1,2024-10-21
40,2024-08-01,641.5600000000001,686.33,0.9347689886789154,Chocolates,Ecomm,0,1,1,2024-10-21
41,2024-09-01,688.18,628.92,0.9057749793296445,Chocolates,Ecomm,0,1,1,2024-10-21
42,2024-07-01,6300.0,10062.9,0.6260620695823271,Chocolates,Export_Re-Export,1,0,1,2024-10-21
43,2024-08-01,6495.8,8513.1,0.7630357918971937,Chocolates,Export_Re-Export,1,0,1,2024-10-21
44,2024-09-01,6370.9,3155.7,0.0,Chocolates,Export_Re-Export,1,0,1,2024-10-21
45,2024-07-01,6300.0,10062.9,0.6260620695823271,Chocolates,Export_Re-Export,0,1,1,2024-10-21
46,2024-08-01,6495.8,8513.1,0.7630357918971937,Chocolates,Export_Re-Export,0,1,1,2024-10-21
47,2024-09-01,6370.9,3155.7,0.0,Chocolates,Export_Re-Export,0,1,1,2024-10-21
48,2024-07-01,10666.57,11167.127,0.955175847825497,Chocolates,Retail,1,0,1,2024-10-21
49,2024-08-01,11060.939,15221.994,0.7266419235219774,Chocolates,Retail,1,0,1,2024-10-21
50,2024-09-01,12809.903,11656.291000000001,0.901030954014446,Chocolates,Retail,1,0,1,2024-10-21
51,2024-07-01,10666.57,11167.127,0.955175847825497,Chocolates,Retail,0,1,1,2024-10-21
52,2024-08-01,11060.939,15221.994,0.7266419235219774,Chocolates,Retail,0,1,1,2024-10-21
53,2024-09-01,12809.903,11656.291000000001,0.901030954014446,Chocolates,Retail,0,1,1,2024-10-21
54,2024-07-01,40443.326,45282.689,0.8931299552462532,Chocolates,ALL,1,0,1,2024-10-21
55,2024-08-01,40864.282,59328.9,0.6887753186052665,Chocolates,ALL,1,0,1,2024-10-21
56,2024-09-01,47750.656,42397.101,0.8737282768460986,Chocolates,ALL,1,0,1,2024-10-21
57,2024-07-01,40443.326,45282.689,0.8931299552462532,Chocolates,ALL,0,1,1,2024-10-21
58,2024-08-01,40864.282,59328.9,0.6887753186052665,Chocolates,ALL,0,1,1,2024-10-21
59,2024-09-01,47750.656,42397.101,0.8737282768460986,Chocolates,ALL,0,1,1,2024-10-21
60,2024-07-01,72382.405,72285.171,0.9986548555027974,Fruits,B2B,1,0,1,2024-10-21
61,2024-08-01,70964.073,94179.959,0.7534944138168503,Fruits,B2B,1,0,1,2024-10-21
62,2024-09-01,83550.81599999999,74322.169,0.875829148635315,Fruits,B2B,1,0,1,2024-10-21
63,2024-07-01,72382.405,72285.171,0.9986548555027974,Fruits,B2B,0,1,1,2024-10-21
64,2024-08-01,70964.073,94179.959,0.7534944138168503,Fruits,B2B,0,1,1,2024-10-21
65,2024-09-01,83550.81599999999,74322.169,0.875829148635315,Fruits,B2B,0,1,1,2024-10-21
66,2024-07-01,877.6320000000001,1012.5790000000001,0.8667294107422729,Fruits,Ecomm,1,0,1,2024-10-21
67,2024-08-01,915.755,1082.942,0.8456177708501471,Fruits,Ecomm,1,0,1,2024-10-21
68,2024-09-01,882.0749999999999,868.549,0.9844269004972662,Fruits,Ecomm,1,0,1,2024-10-21
69,2024-07-01,877.6320000000001,1012.5790000000001,0.8667294107422729,Fruits,Ecomm,0,1,1,2024-10-21
70,2024-08-01,915.755,1082.942,0.8456177708501471,Fruits,Ecomm,0,1,1,2024-10-21
71,2024-09-01,882.0749999999999,868.549,0.9844269004972662,Fruits,Ecomm,0,1,1,2024-10-21
72,2024-07-01,19262.466,16321.234,0.8197910770717459,Fruits,Export_Re-Export,1,0,1,2024-10-21
73,2024-08-01,18905.398,22967.64,0.8231319369338774,Fruits,Export_Re-Export,1,0,1,2024-10-21
74,2024-09-01,19549.017,15689.04,0.7539698413669671,Fruits,Export_Re-Export,1,0,1,2024-10-21
75,2024-07-01,19262.466,16321.234,0.8197910770717459,Fruits,Export_Re-Export,0,1,1,2024-10-21
76,2024-08-01,18905.398,22967.64,0.8231319369338774,Fruits,Export_Re-Export,0,1,1,2024-10-21
77,2024-09-01,19549.017,15689.04,0.7539698413669671,Fruits,Export_Re-Export,0,1,1,2024-10-21
78,2024-07-01,7650.007,7871.877,0.9718148543225459,Fruits,Retail,1,0,1,2024-10-21
79,2024-08-01,7842.492,7830.204,0.9984306922271756,Fruits,Retail,1,0,1,2024-10-21
80,2024-09-01,7962.378,7962.448,0.9999912087337963,Fruits,Retail,1,0,1,2024-10-21
81,2024-07-01,7650.007,7871.877,0.9718148543225459,Fruits,Retail,0,1,1,2024-10-21
82,2024-08-01,7842.492,7830.204,0.9984306922271756,Fruits,Retail,0,1,1,2024-10-21
83,2024-09-01,7962.378,7962.448,0.9999912087337963,Fruits,Retail,0,1,1,2024-10-21
84,2024-07-01,100172.51,97490.861,0.9724933294003836,Fruits,ALL,1,0,1,2024-10-21
85,2024-08-01,98627.718,126060.745,0.7823824775904664,Fruits,ALL,1,0,1,2024-10-21
86,2024-09-01,111944.286,98842.206,0.8674444801444436,Fruits,ALL,1,0,1,2024-10-21
87,2024-07-01,100172.51,97490.861,0.9724933294003836,Fruits,ALL,0,1,1,2024-10-21
88,2024-08-01,98627.718,126060.745,0.7823824775904664,Fruits,ALL,0,1,1,2024-10-21
89,2024-09-01,111944.286,98842.206,0.8674444801444436,Fruits,ALL,0,1,1,2024-10-21
90,2024-07-01,237557.434,247778.833,0.9587478927225394,"Flour, Grain & Flakes",B2B,1,0,1,2024-10-21
91,2024-08-01,249541.45,264565.499,0.9432123649652444,"Flour, Grain & Flakes",B2B,1,0,1,2024-10-21
92,2024-09-01,251402.951,241846.825,0.9604868660152971,"Flour, Grain & Flakes",B2B,1,0,1,2024-10-21
93,2024-07-01,237557.434,247778.833,0.9587478927225394,"Flour, Grain & Flakes",B2B,0,1,1,2024-10-21
94,2024-08-01,249541.45,264565.499,0.9432123649652444,"Flour, Grain & Flakes",B2B,0,1,1,2024-10-21
95,2024-09-01,251402.951,241846.825,0.9604868660152971,"Flour, Grain & Flakes",B2B,0,1,1,2024-10-21
96,2024-07-01,4184.048,5755.691,0.7269410397465743,"Flour, Grain & Flakes",Ecomm,1,0,1,2024-10-21
97,2024-08-01,4262.8279999999995,4498.838,0.9475397869405389,"Flour, Grain & Flakes",Ecomm,1,0,1,2024-10-21
98,2024-09-01,4658.7029999999995,5343.031,0.871921386943104,"Flour, Grain & Flakes",Ecomm,1,0,1,2024-10-21
99,2024-07-01,4184.048,5755.691,0.7269410397465743,"Flour, Grain & Flakes",Ecomm,0,1,1,2024-10-21
100,2024-08-01,4262.8279999999995,4498.838,0.9475397869405389,"Flour, Grain & Flakes",Ecomm,0,1,1,2024-10-21
101,2024-09-01,4658.7029999999995,5343.031,0.871921386943104,"Flour, Grain & Flakes",Ecomm,0,1,1,2024-10-21
102,2024-07-01,15340.444,10129.018,0.48549543499675885,"Flour, Grain & Flakes",Export_Re-Export,1,0,1,2024-10-21
103,2024-08-01,13942.777,9712.16,0.5643999892917744,"Flour, Grain & Flakes",Export_Re-Export,1,0,1,2024-10-21
104,2024-09-01,14765.191,8357.254,0.23324850483185033,"Flour, Grain & Flakes",Export_Re-Export,1,0,1,2024-10-21
105,2024-07-01,15340.444,10129.018,0.48549543499675885,"Flour, Grain & Flakes",Export_Re-Export,0,1,1,2024-10-21
106,2024-08-01,13942.777,9712.16,0.5643999892917744,"Flour, Grain & Flakes",Export_Re-Export,0,1,1,2024-10-21
107,2024-09-01,14765.191,8357.254,0.23324850483185033,"Flour, Grain & Flakes",Export_Re-Export,0,1,1,2024-10-21
108,2024-07-01,31993.245,33268.073,0.9616801369889985,"Flour, Grain & Flakes",Retail,1,0,1,2024-10-21
109,2024-08-01,34476.698,41151.92,0.837790751926034,"Flour, Grain & Flakes",Retail,1,0,1,2024-10-21
110,2024-09-01,41348.873,37095.968,0.8853539824058507,"Flour, Grain & Flakes",Retail,1,0,1,2024-10-21
111,2024-07-01,31993.245,33268.073,0.9616801369889985,"Flour, Grain & Flakes",Retail,0,1,1,2024-10-21
112,2024-08-01,34476.698,41151.92,0.837790751926034,"Flour, Grain & Flakes",Retail,0,1,1,2024-10-21
113,2024-09-01,41348.873,37095.968,0.8853539824058507,"Flour, Grain & Flakes",Retail,0,1,1,2024-10-21
114,2024-07-01,289075.171,296931.615,0.9735412344017325,"Flour, Grain & Flakes",ALL,1,0,1,2024-10-21
115,2024-08-01,302223.753,319928.417,0.9446605457370172,"Flour, Grain & Flakes",ALL,1,0,1,2024-10-21
116,2024-09-01,312175.718,292643.078,0.9332543925744247,"Flour, Grain & Flakes",ALL,1,0,1,2024-10-21
117,2024-07-01,289075.171,296931.615,0.9735412344017325,"Flour, Grain & Flakes",ALL,0,1,1,2024-10-21
